NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC;logGL;logBp;logDp;logSD;logDD;logBd;logDd;logBT;logHTC;logSLC
n3797;280124;oc;esc;coll;r;c;si;fissures;1;f;;9;120;NA3;;;;;;4;;36,8;23,9;28,7;;;;;;;;;;;;;;;;;;;;
n8181;290109;bota;RA;diaf prox;r;c;;fissures, roots;2;f prox;;12;120;NR;;;;;;6;;68,7;32,9;;;;;;;;;;;;;-0,0257707912584242;-0,0738687090765249;;;;;;;
n1937;270300;oc;TI;diaf dist;r;c;si;roots;1;f;;15;120;Vand;;;;;;1;;;;;27;21,3;;;;;;;;;;;;;;-0,0747409177370802;;;;
n3789;280124;gazella?;esc;g-s;r;c;si;;0;;;9;120;NA3;;;;;;4;21,5;;21,5;;;;;;;;;;;;;;;;;;;;;
n115;260003;ovar;mand;p3-m3;r;c;si;roots;2;m3 +/-;;18;24;LateRoman;;;;;;;;;27,1;;;18,5;24,6;;;;;;;;;;;;;;;;;
n1882;270211;oc;cox;g-s;l;c;;roots;1;nf;masc;9;42;Vand;;;;;;2;27,1;24,6;8,5;8;14,4;9,1;;;;;;;;;;;;;;;;;;
n503;160048;oc;MC;diaf prox;r;c;;roots i fissures;1;nf dist;;12;24;EarlyRoman;;;;;;;;26,1;19,3;15,9;11,1;;;;;;;;;;;0,0882609038995432;;0,0975934033644946;;;;;;
n3551;280118;equus;P2;s;;c;;fissures;2;f;;12;120;NA3;;;;;;4;46,3;50,7;30,5;43,3;48,7;25,4;;;;;;;;;;;;;;;;;;
n12866;***1065;ovar;AS;;r;c;;;0;;;;;EarlyRoman;;;;;;12;27,3;;;;;17,6;;;;;;;;;0,00479888288176871;;;;;-0,00490733449474412;;;;
n12056;190030;bota;P1 ant;diaf prox;;c;;roots, fissures, weathering;2;f;;24;120;EarlyRoman;;;;;;11;;25,5;27,9;;;;;;;;;;;;;-0,0406178509082641;-0,0315170514460649;;;;;;;
n4111;280412;sudo;P1;s;;c;;roots;1;f;;24;72;Vand;;;;;;4;32,1;17;16,6;12,7;14,6;9,9;;;;;;;;;;;;;;;;;;
n843;160028;oc;HU;diaf dist;l;c;;fissures, roots;2;f;;9;120;Vand;;;;;;;;;;;;;23;29,1;;;;;;;;;;;;;;0,0309236981115015;;
n10855;290432;bota;esc;coll;r;c;si;fissures, roots;1;f;;9;120;NA1;;;;;;9;;64,6;51,3;44,9;;;;;;;;;;;;;;;;;;;;
n5704;280221;oc;AS;;l;c;;;0;;;9;120;NA3;;;;;;5;30;16,8;19;;;;;;;;;;;;0,0457574905606751;;;;;;;;;
n1001;270002;bota;MT;g-s;l;c;si;fissures, roots;2;f;;24;120;indet;;;;;;1;218;48,8;44,7;27,5;24,2;;;;;;;;;;0,0203931586418433;0,100708856983799;0,0648467936234358;0,0890846754960998;;;;;;
n2394;270064;bota;TI;diaf dist;l;c;si;fissures;2;f dist;;24;120;NR;;;;;;2;;;;;55;44,5;;;;;;;;;;;;;;-0,0935790667482674;;;;
n10901;290432;bota;TI;diaf dist;l;c;;fissures, burnt;3;f;;30;120;NA1;;;;;;9;;;;;56,1;41,1;;;;;;;;;;;;;;-0,12809725585313;;;;
n1604;270063;bota;patella;s;l;c;si;;;;;12;120;NR;;;;;;1;60,3;46,6;;;;;;;;;;;;;;;;;;;;;;
n7081;170007;bota;P1;s;;c;;roots;1;f;;24;120;Med;;;;;;C;54,3;27,9;30,1;22,2;23,3;18,7;;;;;;;;;;;;;;;;;;
n3037;180025;bota;AS;;l;c;;fissures, weathering;2;;;12;120;Indet;;;;;;3;60,3;33,5;38,8;;;;;;;;;;;;-0,0120743773581026;;;;;;;;;
n382;260033;ovar;CA;;r;c;;;0;f;;18;72;indet;;;;;;;;;;66,7;21,3;18,8;;;;;;;;;;;;;;;;;;
n9124;290422;oc;esc;coll + pala;l;c;si;roots;2;f;;12;120;NA2;;;;;;7;18,6;35,9;22,7;;;;;;;;;;;;;;;;;;;;;
n12816;190022;bota;AS;;l;c;;roots;2;;;;;indet;;;;;;11;67,4;;;;;46;;;;;;;;;0,036268207037066;;;;;0,0716932246550749;;;;
n10568;290227;bota;P3;s;;c;;;0;;;24;120;NA3;;;;;;9;70,1;25,3;;;;;;;;;;;;;;;;;;;;;;
n12600;190019;oc;TI;s;r;c;;roots;1;f dist, nf prox;;15;42;indet;;;;;;11;;;;;;27,5;22,2;;;;;;;;;;;;;0,0362121726544447;0,0496877841891075;;;
n9890;290214;equus;AS;talus;;c;;;0;;;9;120;NA3;;;;;;8;52,6;;;;;;;;;;;;;;;;;;;;;;;
