NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC;logGL;logBp;logDp;logSD;logDD;logBd;logDd;logBT;logHTC;logSLC
n5704;280221;oc;AS;;l;c;;;0;;;9;120;NA3;;;;;;5;30;16,8;19;;;;;;;;;;;;0,0457574905606751;;;;;;;;;
n657;170075;oc;skull;orbita;l;c;si;;;;;12;120;Med;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n6062;280468;oc;MC;diaf dist;l;c;;carnivore;1;nf;;9;24;NR;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;
n9455;290115;micro;;;;;;;;;;;;EarlyRoman;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;
n1001;270002;bota;MT;g-s;l;c;si;fissures, roots;2;f;;24;120;indet;;;;;;1;218;48,8;44,7;27,5;24,2;;;;;;;;;;0,0203931586418433;0,100708856983799;0,0648467936234358;0,0890846754960998;;;;;;
n2394;270064;bota;TI;diaf dist;l;c;si;fissures;2;f dist;;24;120;NR;;;;;;2;;;;;55;44,5;;;;;;;;;;;;;;-0,0935790667482674;;;;
n10901;290432;bota;TI;diaf dist;l;c;;fissures, burnt;3;f;;30;120;NA1;;;;;;9;;;;;56,1;41,1;;;;;;;;;;;;;;-0,12809725585313;;;;
n1604;270063;bota;patella;s;l;c;si;;;;;12;120;NR;;;;;;1;60,3;46,6;;;;;;;;;;;;;;;;;;;;;;
n7081;170007;bota;P1;s;;c;;roots;1;f;;24;120;Med;;;;;;C;54,3;27,9;30,1;22,2;23,3;18,7;;;;;;;;;;;;;;;;;;
n3037;180025;bota;AS;;l;c;;fissures, weathering;2;;;12;120;Indet;;;;;;3;60,3;33,5;38,8;;;;;;;;;;;;-0,0120743773581026;;;;;;;;;
n382;260033;ovar;CA;;r;c;;;0;f;;18;72;indet;;;;;;;;;;66,7;21,3;18,8;;;;;;;;;;;;;;;;;;
n9124;290422;oc;esc;coll + pala;l;c;si;roots;2;f;;12;120;NA2;;;;;;7;18,6;35,9;22,7;;;;;;;;;;;;;;;;;;;;;
n12816;190022;bota;AS;;l;c;;roots;2;;;;;indet;;;;;;11;67,4;;;;;46;;;;;;;;;0,036268207037066;;;;;0,0716932246550749;;;;
n10568;290227;bota;P3;s;;c;;;0;;;24;120;NA3;;;;;;9;70,1;25,3;;;;;;;;;;;;;;;;;;;;;;
n679;270323;oc;FE;diaf dist;r;c;;weathering;1;nf;;12;42;Vand;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
n9390;290425;oc;MC;diaf prox;l;lat;;fissures, weathering;1;;;;;NA1;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;
n12678;***1040;oc;P1;gs;;;;roots;1;nf;;1;6;Med;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;
n5579;280206;oc;vert;toracica;;c;si;roots;1;f;;48;72;NA3;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
n13028;***1058;sudo;mp;epif dist;;c;;roots;1;nf;;1;6;Vand;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;
n10882;290432;bota;skull;max: (p4-m3);r;c;;fissures, roots;1;;;;;NA1;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;
n12600;190019;oc;TI;s;r;c;;roots;1;f dist, nf prox;;15;42;indet;;;;;;11;;;;;;27,5;22,2;;;;;;;;;;;;;0,0362121726544447;0,0496877841891075;;;
n9890;290214;equus;AS;talus;;c;;;0;;;9;120;NA3;;;;;;8;52,6;;;;;;;;;;;;;;;;;;;;;;;
n2548;270127;oc;TI;diaf dist;r;c;si;burnt, roots;1;f;;15;120;NR;;;;;;2;;;;14;26,2;21;;;;;;;;;;;;;0,372978312533088;-0,0809012264418987;;;;
n6904;170085;oc;vert;s;;c;;weathering;1;nf;;4;9;LateRoman;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;
n10481;290217;oc;RA;diaf prox;l;c;;burnt, weathering;1;f prox;;9;120;NA3;;;;;;8;;33,5;16,6;;;;;;;;;;;;;0,0436021785345402;;;;;;;;
n1605;270063;bota;MC;diaf prox;r;c;si;fissures;2;;;12;120;NR;;;;;;1;;49;31,1;;;;;;;;;;;;;0,0340978780156818;0,0379155290183273;;;;;;;
n3913;280408;sudo;P3;s;;c;;roots;1;;;9;72;Vand;;;;;;4;28,6;12;15,9;;;;;;;;;;;;;;;;;;;;;
n12322;***2003;sudo;HU;s;r;c;;roots;1;nf, mj;;;;Med;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;
n6650;280315;oc;AS;;r;c;;weathering;1;;;9;120;Vand;;;;;;A;30,5;20,5;16,9;;;;;;;;;;;;0,0529360751877985;;;;;;;;;
n1802;270320B;sudo;MT IV;s;r;c;;fissures, roots;2;f;;24;72;Vand;;;;;;1;72;14,2;20,1;12,2;9,3;15;15,9;;;;;;;;;;;;;;;;;
n10851;290432;bota;P2;s;;c;;;0;nf;;1;4;NA1;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;
n1597;270063;bota;skull;max: m1-m3;r;c;;weathering;2;m3 ++;;48;96;NR;;;;;;1;27,2;21,9;31,3;;;;;;;;;;;;;;;;;;;;;
n178;160035;bota;dn;p3 sup;r;c;;fissures;1; +/0;;18;30;EarlyRoman;;;-125;-50;;;;;;;;;;;;;;;;;;;;;;;;;;
n5906;280339;bota;vert;cos;;c;;;;;;;;NR;;;;;;5;;;;;;;;;21,4;;;;;;;;;;;;;;;
n10902;290432;bota;TI;diaf dist;l;c;;fissures;1;f;;30;120;NA1;;;;;;9;;;;;59,3;43,8;;;;;;;;;;;;;;-0,100464967225099;;;;
n4587;280402;sudo;fibula;diaf;;c;;;0;;;9;72;Med;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
n3271;170039;sudo;ulna;diaf;r;c;;carnivore, roots;3;;;;;Med;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
n554;260039;oc;mand;angle;r;c;si;roots;2;nf;;6;18;indet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n2505;270126;oc;HU;diaf dist;r;c;si;fissures, weathering, carnivore;1;f;;9;120;NR;;;;;;2;;;;;;32,9;27;;;;;;;;;;;;;;;;;
n2170;270064;sudo;P3;s;;c;;;;f;;6;18;NR;;;;;;2;42,2;14,7;26,4;;;;;;;;;;;;;;;;;;;;;
n6446;280302;oc;vert;lumbar;;;;roots, oxid ferro;2;nf;;9;42;Vand;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;
n9817;290212;bota;RA;diaf prox;r;c;;fissures, roots;1;f prox;;12;120;NR;;;;;;8;;75;40,8;;;;;;;;;;;;;0,0123337350737254;0,0195955560633807;;;;;;;
n3853;280122;sudo;skull;orbita;l;c;;;0;nf;;1;4;NA3;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
