NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC
n906;160030;meso;vert;cos;;;;roots;1;;;;;Imp;;;;;;;;;;;;;;;;;;;;
n3601;280112;equus;RA;ext dist;l;c;;fissures;1;f;;42;120;NA3;;;;;;4;;;;;55;34,2;;;;;;;;
n3489;280421;sudo;MC III;diaf prox;r;c;;;0;nf;;4;18;Vand;;;;;;4;;;;;;;;;;;;;;
n2904;180063;meso;cost;cos;;c;si;roots;1;;;;;EarlyRoman;;;;;;3;;;;;;;;;;;;;;
n1601;270063;bota;skull;banya;;sto;si;;;;;;;NR;;;;;;1;;;;;;;;;;;;;;
n13329;***2315;other;os treballat;tija decorada, """punxo per escriure""";;;;;;;;;;NR;;;;;;12;;;;;;;;;;;;;;
n11578;290131;oc;FE;ext prox;l;c;;fissures;1;ec;;24;36;NA3;;;;;;10;;;;;;;;;;;;;;
n2447;270049;bota;cox;acet + pubis;r;c;;fissures, carnivore, roots;2;f;fem;12;120;NR;;;;;;1;;52,7;12;22,2;;;;;;;;;;
n8655;290409;oc;esc;coll+pala;l;c;;fissures, carnivore;1;;;4;120;NA1;;;;;;6;;;;;;;;;;;;;;
n12913;***1068;oc;P1;s;;c;;weathering;2;f;;24;120;EarlyRoman;;;;;;12;;;;;;;;;;;;;;
n12938;***1071;oc;vert;cervical;;sto;;weathering;1;nf;;1;6;EarlyRoman;;;;;;12;;;;;;;;;;;;;;
n2296;270064;ovar;mand;serie: p2-m3;l;c;;roots, fissures, weathering, carnivore;1;p4 -, m2 +, m3 +/-;;18;24;NR;;;;;;2;;;;;;;;;;;;;;
n10067;290210;bota;dn;m2 sup;r;c;;fissures;2;;;;;NR;;;;;;8;;;;;;;;;;;;;;
n4829;180057;bota;RA;ext dist;l;c;si;roots;1;f;;42;120;EarlyRoman;;;;;;3;;;;;;;;;;;;;;
n3912;280408;sudo;P2;s;;c;;weathering;1;fv;;12;13;Vand;;;;;;4;20,7;15,3;14,7;13,1;13,3;12,7;;;;;;;;
n1851;270211;sudo;skull;frontal;l;c;;weathering;1;nf;;2;6;Vand;;;;;;2;;;;;;;;;;;;;;
n11279;290130;sudo;mp;epif dist;;c;;roots;1;nf;;6;24;NR;;;;;;10;;;;;;;;;;;;;;
n10723;290432;oc?;TI;diaf dist;l;c;;weathering, carnivore;3;nf;;4;15;NA1;;;;;;9;;;;;;;;;;;;;;
n10938;290432;bird;RA;;;;;;0;;;;;NA1;;;;;;9;;;;;;;;;;;;;;
n955;270118;bota;P1;s;;c;;roots;1;f;;24;120;NR;;;;;;1;59,8;31,5;34,1;25,7;31,5;22,2;;;;;;;;
n11171;290221;oc;ulna;diaf;;c;;weathering;1;;;;;NA3;;;;;;10;;;;;;;;;;;;;;
n421;260001;sudo;RA;diaf prox;r;c;;roots;2;;;9;72;indet;;;;;;;;;;;;;;;;;;;;
n12895;***1068;oc;vert;lumbar;;c;;weathering;2;nf;;6;42;EarlyRoman;;;;;;12;;;;;;;;;;;;;;
n13633;***2321;bota;mp;diaf;;sto;;fissures, weathering;3;;;;;NA3;;;;;;12;;;;;;;;;;;;;;
n4258;280414;oc;esc;pala;;sto;;weathering, roots;1;;;6;120;Vand;;;;;;4;;;;;;;;;;;;;;
n10217;190028;sudo;carp;pisiforme;r;c;;roots;1;;;;;indet;;;;;;8;;;;;;;;;;;;;;
n155;260001;bota;mand;p2-m3;r;c;si!!;roots i fissures;4;m3 F, ++;;48;96;indet;;;superficial;;;;;;;;;;;;;;;;;
