NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC
n679;270323;oc;FE;diaf dist;r;c;;weathering;1;nf;;12;42;Vand;;;;;;1;;;;;;;;;;;;;;
n9390;290425;oc;MC;diaf prox;l;lat;;fissures, weathering;1;;;;;NA1;;;;;;7;;;;;;;;;;;;;;
n12678;***1040;oc;P1;gs;;;;roots;1;nf;;1;6;Med;;;;;;11;;;;;;;;;;;;;;
n5579;280206;oc;vert;toracica;;c;si;roots;1;f;;48;72;NA3;;;;;;5;;;;;;;;;;;;;;
n13028;***1058;sudo;mp;epif dist;;c;;roots;1;nf;;1;6;Vand;;;;;;12;;;;;;;;;;;;;;
n10882;290432;bota;skull;max: (p4-m3);r;c;;fissures, roots;1;;;;;NA1;;;;;;9;;;;;;;;;;;;;;
n12600;190019;oc;TI;s;r;c;;roots;1;f dist, nf prox;;15;42;indet;;;;;;11;;;;;;27,5;22,2;;;;;;;
n9890;290214;equus;AS;talus;;c;;;0;;;9;120;NA3;;;;;;8;52,6;;;;;;;;;;;;;
n2548;270127;oc;TI;diaf dist;r;c;si;burnt, roots;1;f;;15;120;NR;;;;;;2;;;;14;26,2;21;;;;;;;;
n6904;170085;oc;vert;s;;c;;weathering;1;nf;;4;9;LateRoman;;;;;;C;;;;;;;;;;;;;;
n10481;290217;oc;RA;diaf prox;l;c;;burnt, weathering;1;f prox;;9;120;NA3;;;;;;8;;33,5;16,6;;;;;;;;;;;
n1605;270063;bota;MC;diaf prox;r;c;si;fissures;2;;;12;120;NR;;;;;;1;;49;31,1;;;;;;;;;;;
n3913;280408;sudo;P3;s;;c;;roots;1;;;9;72;Vand;;;;;;4;28,6;12;15,9;;;;;;;;;;;
n12322;***2003;sudo;HU;s;r;c;;roots;1;nf, mj;;;;Med;;;;;;11;;;;;;;;;;;;;;
n6650;280315;oc;AS;;r;c;;weathering;1;;;9;120;Vand;;;;;;A;30,5;20,5;16,9;;;;;;;;;;;
n1802;270320B;sudo;MT IV;s;r;c;;fissures, roots;2;f;;24;72;Vand;;;;;;1;72;14,2;20,1;12,2;9,3;15;15,9;;;;;;;
n10851;290432;bota;P2;s;;c;;;0;nf;;1;4;NA1;;;;;;9;;;;;;;;;;;;;;
n1597;270063;bota;skull;max: m1-m3;r;c;;weathering;2;m3 ++;;48;96;NR;;;;;;1;27,2;21,9;31,3;;;;;;;;;;;
n178;160035;bota;dn;p3 sup;r;c;;fissures;1; +/0;;18;30;EarlyRoman;;;-125;-50;;;;;;;;;;;;;;;;
n5906;280339;bota;vert;cos;;c;;;;;;;;NR;;;;;;5;;;;;;;;;21,4;;;;;
n10902;290432;bota;TI;diaf dist;l;c;;fissures;1;f;;30;120;NA1;;;;;;9;;;;;59,3;43,8;;;;;;;;
n4587;280402;sudo;fibula;diaf;;c;;;0;;;9;72;Med;;;;;;4;;;;;;;;;;;;;;
n3271;170039;sudo;ulna;diaf;r;c;;carnivore, roots;3;;;;;Med;;;;;;3;;;;;;;;;;;;;;
n554;260039;oc;mand;angle;r;c;si;roots;2;nf;;6;18;indet;;;;;;;;;;;;;;;;;;;;
n2505;270126;oc;HU;diaf dist;r;c;si;fissures, weathering, carnivore;1;f;;9;120;NR;;;;;;2;;;;;;32,9;27;;;;;;;
